"","numero_episodio","Titulo","Tipo","rate","votes","Saga","Lancamento"
"189",189,"Sasuke's Paw Encyclopedia","Filler",5.7,208,"s9 The Locus Of Konoha",2010
"190",190,"Naruto and the Old Soldier","Filler",6.2,213,"s9 The Locus Of Konoha",2010
"191",191,"Kakashi Love Song","Filler",6.3,209,"s9 The Locus Of Konoha",2010
"192",192,"Neji Chronicles","Filler",5.9,207,"s9 The Locus Of Konoha",2010
"193",193,"The Man Who Died Twice","Filler",6.1,205,"s9 The Locus Of Konoha",2011
"194",194,"The Worst Three-Legged Race","Filler",6.1,214,"s9 The Locus Of Konoha",2011
"195",195,"Team 10's Teamwork","Filler",5.8,207,"s9 The Locus Of Konoha",2011
"196",196,"Drive Towards Darkness","Filler",5.9,209,"s9 The Locus Of Konoha",2011
"197",197,"The Sixth Hokage Danzo","Manga Canon",7.5,305,"s10 The Gathering of the Five Kage",2011
"198",198,"Five Kage Summit's Eve","Manga Canon",7.6,298,"s10 The Gathering of the Five Kage",2011
"199",199,"Enter the Five Kage!","Manga Canon",7.6,297,"s10 The Gathering of the Five Kage",2011
"200",200,"Naruto's Plea","Manga Canon",7.7,307,"s10 The Gathering of the Five Kage",2011
"201",201,"Painful Decision","Manga Canon",8,314,"s10 The Gathering of the Five Kage",2011
"202",202,"Racing Lightning","Manga Canon",8.2,319,"s10 The Gathering of the Five Kage",2011
"203",203,"Sasuke's Ninja Way","Manga Canon",8.4,339,"s10 The Gathering of the Five Kage",2011
"204",204,"Power of the Five Kage","Manga Canon",8.3,322,"s10 The Gathering of the Five Kage",2011
"205",205,"Declaration of War","Manga Canon",8.2,320,"s10 The Gathering of the Five Kage",2011
"206",206,"Sakura's Feelings","Manga Canon",7.2,321,"s10 The Gathering of the Five Kage",2011
"207",207,"The Tailed Beast vs. The Tailless Tailed Beast","Manga Canon",8.3,321,"s10 The Gathering of the Five Kage",2011
"208",208,"As One's Friend","Manga Canon",7.7,305,"s10 The Gathering of the Five Kage",2011
"209",209,"Danzo's Right Arm","Manga Canon",8.5,370,"s10 The Gathering of the Five Kage",2011
"210",210,"The Forbidden Visual Jutsu","Manga Canon",8.4,362,"s10 The Gathering of the Five Kage",2011
"211",211,"Danzo Shimura","Manga Canon",8.7,504,"s10 The Gathering of the Five Kage",2011
"212",212,"Sakura's Resolve","Manga Canon",6.9,286,"s10 The Gathering of the Five Kage",2011
"213",213,"Lost Bonds","Mixed Canon/Filler",6.3,285,"s10 The Gathering of the Five Kage",2011
"214",214,"The Burden","Manga Canon",7.1,290,"s10 The Gathering of the Five Kage",2011
"215",215,"Two Fates","Manga Canon",7.4,295,"s10 The Gathering of the Five Kage",2011
"216",216,"High-Level Shinobi","Manga Canon",7.6,312,"s10 The Gathering of the Five Kage",2011
"217",217,"The Infiltrator","Manga Canon",7.5,291,"s10 The Gathering of the Five Kage",2011
"218",218,"The Five Great Nations Mobilize","Manga Canon",7.2,291,"s10 The Gathering of the Five Kage",2011
"219",219,"Kakashi Hatake, The Hokage","Manga Canon",8,329,"s10 The Gathering of the Five Kage",2011
"220",220,"Prophecy of the Great Lord Elder","Manga Canon",7.3,285,"s10 The Gathering of the Five Kage",2011
"221",221,"Storage","Manga Canon",7.9,298,"s10 The Gathering of the Five Kage",2011
"222",222,"The Five Kage's Decision","Manga Canon",7.2,277,"s11 Paradise On The Ship",2011
"223",223,"The Young Man and the Sea","Filler",5.8,217,"s11 Paradise On The Ship",2011
"224",224,"The Ninja of Benisu","Filler",5.5,209,"s11 Paradise On The Ship",2011
"225",225,"The Cursed Ghost Ship","Filler",5.4,211,"s11 Paradise On The Ship",2011
"226",226,"Battleship Island","Filler",5.1,234,"s11 Paradise On The Ship",2011
"227",227,"The Forgotten Island","Filler",5.4,210,"s11 Paradise On The Ship",2011
"228",228,"Fight! Rock Lee!","Filler",5.5,208,"s11 Paradise On The Ship",2011
"229",229,"Eat or Die! Mushrooms from Hell","Filler",5.3,212,"s11 Paradise On The Ship",2011
"230",230,"Revenge of the Shadow Clones","Filler",5.5,205,"s11 Paradise On The Ship",2011
"231",231,"The Closed Route","Filler",5.4,205,"s11 Paradise On The Ship",2011
"232",232,"The Girls Get-Together","Filler",6.5,208,"s11 Paradise On The Ship",2011
"233",233,"Naruto's Imposter","Filler",5.5,202,"s11 Paradise On The Ship",2011
"234",234,"Naruto's Favorite Student","Filler",6.2,215,"s11 Paradise On The Ship",2011
"235",235,"The Kunoichi of Nadeshiko Village","Filler",5.8,205,"s11 Paradise On The Ship",2011
"236",236,"Friends You Can Count On","Filler",5.9,199,"s11 Paradise On The Ship",2011
"237",237,"Ah, My Hero Lady Tsunade!","Filler",6.1,198,"s11 Paradise On The Ship",2011
"238",238,"Sai's Day Off","Filler",5.9,200,"s11 Paradise On The Ship",2011
"239",239,"The Legendary Ino-Shika-Cho Trio","Filler",6.1,203,"s11 Paradise On The Ship",2011
"240",240,"Kiba's Determination","Filler",5.8,202,"s11 Paradise On The Ship",2011
"241",241,"Kakashi, My Eternal Rival!","Filler",6.7,215,"s11 Paradise On The Ship",2011
